G54.1	Lumbosacral plexus disorders
M54.06	Panniculitis affecting regions of the back, lumbar region
M54.07	Panniculitis affecting regions of the back, lumbosacral region
M54.08	Panniculitis affecting regions of the back, sacral and sacrococcygeal region
M54.15	Radiculopathy, thoracolumbar region (neuritis)
M54.16	Radiculopathy, lumbar region (neuritis)
M54.17	Radiculopathy, lumbosacral region (neuritis)
M54.18	Radiculopathy, sacrococcygeal region (neuritis)
M54.30	Sciatica, unspecified
M54.31	Sciatica, right side
M54.32	Sciatica, left side
M54.40	Lumbago with sciatica, unspecified side
M54.41	Lumbago with sciatica, right side
M54.42	Lumbago with sciatica, left side
M54.5	Low back pain (lumbago)
M54.89	Other dorsalgia
M54.9	Backache unspecified
M95.5	Acquired deformity of the pelvis (unlevel pelvis)
M96.1	Postlaminectomy syndrome, lumbar region
M96.1	Postlaminectomy syndrome,not elsewhere classifed (lumbar)
M99.03	Segmental and somatic dysfunction, lumbar region (Medicare subluxation)
M99.04	Segmental and somatic dysfunction, sacral , sacrococcygeal, sacroiliac regions (Medicare subluxation)
M99.05	Segmental and somatic dysfunction, hip, pelvis, pubic region (Medicare subluxation)
M99.13	Subluxation complex (vertebral), lumbar region
M99.14	Subluxation complex , sacral region
M99.15	Subluxation complex , pelvic region
M99.23	Subluxation stenosis of neural canal, lumbar region
M99.24	Subluxation stenosis of neural canal, sacral region
M99.25	Subluxation stenosis of neural canal, pelvic region
M99.33	Osseous stenosis of neural cnal of lumbar region
M99.43	Connective tissue stenosis of neural canal of the lumbar region
M99.53	Intervertebral disc stenosis of neural canal lumbar region
M99.54	Intervertebral disc stenosis of neural canal of sacral region
M99.63	Osseous and subluxation stenosis of intervertebral foramina of lumbar region
M99.73	Connective tissue and disc stenosis of intervertebral foramina of lumbar region
Q76.0	Spina bifida occulta
Q76.1	Klippel-Feil syndrome
Q76.2	Congenital spondylolisthesis
Spondylolisthesis congenital
Congenital kyphosis, thoracolumbar region
Q76.426	Congenital lordosis, lumbar region
Q76.427	Congenital lordosis, lumbosacral region
Q76.428	Congenital lordosis, sacral and sacrococcygeal region
Q76.49	Other congenital malformations of spine, not associated with scoliosis
Q76.49	Other congenital malformations of spine, not associated with scoliosis
R29.3	Abnormal posture Loss of height
R29.890	Loss of height
S23.20XA	Dislocation of unspecified part of thorax initial encounter
S23.20XD	Dislocation of unspecified part of thorax subsequent encounter
S23.20XS	Dislocation of unspecified part of thorax sequela
S30.0XXA	Contusion of lower back and pelvis, initial encounter (active treatment)
S30.0XXA	Contusion of buttock (back) Contusion of lower back and pelvis, initial encounter (active treatment)
S30.0XXD	Contusion of lower back and pelvis, subsequent encounter
S30.0XXD	Contusion of buttock (back) Contusion of lower back and pelvis, subsequent encounter
S30.0XXS	Contusion of lower back and pelvis, sequelae
S30.0XXS	Contusion of buttock (back) Contusion of lower back and pelvis, sequelae
S30.810A	Abrasion of lower back and pelvis, initial encounter
S32.010A	Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture
S32.010S	Wedge compression fracture of first lumbar vertebra sequela
S32.020A	Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture
S32.020S	Wedge compression fracture of second lumbar vertebra, sequela
S32.030A	Wedge compression fracture of third lumbar vertebra, initial encounter for closed fracture
S32.030S	Wedge compression fracture of third lumbar vertebra, sequela
S32.040A	Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture
S32.040S	Wedge compression fracture of fourth lumbar vertebra, sequela
S32.050A	Wedge compression fracture of fifth lumbar vertebra, initial encounter for closed fracture
S32.050S	Wedge compression fracture of fifth lumbar vertebra, sequela
S33.0XXA	Traumatic rupture of lumbar intervertebral disc, initial encounter (active treatment)
S33.0XXD	Traumatic rupture of lumbar intervertebral disc, subsequent encounter
S33.0XXS	Traumatic rupture of lumbar intervertebral disc, sequela
S33.100A	Subluxation of unspecified lumbar vertebrae initial encounter
S33.100D	Subluxation of unspecified lumbar vertebrae subsequent encounter
S33.100S	Subluxation of unspecified lumbar vertebrae sequela
S33.110A	Subluxation of L1/L2 lumbar vertebra initial encounter
S33.110D	Subluxation of L1/L2 lumbar vertebra subsequent encounter
S33.110S	Subluxation of L1/L2 lumbar vertebra sequela
S33.120A	Subluxation of L2/L3 lumbar vertebra initial encounter
S33.120D	Subluxation of L2/L3 lumbar vertebra subsequent encounter
S33.120S	Subluxation of L2/L3 lumbar vertebra sequela
S33.130A	Subluxation of L3/L4 lumbar vertebra initial encounter
S33.130D	Subluxation of L3/L4 lumbar vertebra subsequent encounter
S33.130S	Subluxation of L3/L4 lumbar vertebra sequela
S33.140A	Subluxation of L4/L5 lumbar vertebra initial encounter
S33.140D	Subluxation of L4/L5 lumbar vertebra subsequent encounter
S33.140S	Subluxation of L4/L5 lumbar vertebra sequela
S33.2XXA	Dislocation of sacroiliac and sacrococcygeal joint initial encounter
S33.2XXA	Dislocation of sacroiliac and sacrococcygeal joint initial encounter
S33.2XXD	Dislocation of sacroiliac and sacrococcygeal joint subequent encounter
S33.2XXD	Dislocation of sacroiliac and sacrococcygeal joint subequent encounter
S33.2XXS	Dislocation of sacroiliac and sacrococcygeal joint sequela
S33.2XXS	Dislocation of sacroiliac and sacrococcygeal joint sequela
S33.39XA	Dislocation of other parts of lumbar spine and pelvis intial encounter
S33.39XD	Dislocation of other parts of lumbar spine and pelvis subsequent encounter
S33.39XS	Dislocation of other parts of lumbar spine and pelvis sequela
S33.5XXA	Sprain of ligaments of lumbar spine, initial encounter (active treatment)
S33.5XXD	Sprain of ligaments of lumbar spine, subsequent encounter
S33.5XXS	Sprain of ligaments of lumbar spine, sequela
S33.6XXA	Sprain of sacroiliac joint, initial encounter
S33.6XXD	Sprain of sacroiliac joint, subsequent encounter
S33.6XXS	Sprain of sacroiliac joint, sequela
S33.8XXA	Sprain of other parts of lumbar spine and pelvis, initial encounter
S33.8XXA	Sprain of other parts of lumbar spine and pelvis, initial encounter
S33.8XXA	Sprain of other parts of lumbar spine and pelvis, initial encounter (active treatment)
S33.8XXA	Sprain of other parts of lumbar spine and pelvis, initial encounter (sacrospinatus)
S33.8XXA	Sprain of other parts of lumbar spine and pelvis, initial encounter (sacroiliac)
S33.8XXD	Sprain of other parts of lumbar spine and pelvis, subsequent encounter
S33.8XXS	Sprain of other parts of lumbar spine and pelvis, sequela
S33.9XXA	Sprain of unspecified parts of lumbar spine and pelvis, initial encounter
S33.9XXD	Sprain of unspecified parts of lumbar spine and pelvis, subsequent encounter
S33.9XXS	Sprain of unspecified parts of lumbar spine and pelvis, sequela
S34.21XA	Injury of nerve root of lumbar spine initial encounter
S34.21XD	Injury of nerve root of lumbar spine subsequent encounter
S34.21XS	Injury of nerve root of lumbar spine sequela
S34.22XA	Injury of nerve root of sacral spine initial encounter
S34.22XD	Injury of nerve root of sacral spine subsequent encounter
S34.22XS	Injury of nerve root of sacral spine sequela
S34.4XXA	Injury of lumbosacral plexus initial encounter
S34.4XXD	Injury of lumbosacral plexus subsequent encounter
S34.4XXS	Injury of lumbosacral plexus sequela
S39.002A	Unspecified injury of muscle, fascia and tendon of lower back, initial encounter
S39.002D	Unspecified injury of muscle, fascia and tendon of lower back, subsequent encounter
S39.002S	Unspecified injury of muscle, fascia and tendon of lower back, sequela
	S39.012A	Strain of muscle, fascia and tendon of lower back, initial encounter (active treatment)
S39.012D	Strain of muscle, fascia and tendon of lower back, subsequent encounter
S39.012S	Strain of muscle, fascia and tendon of lower back, sequela
S74.01XA	Injury of sciatic nerve at hip and thigh level, right leg, initial encounter
